 Evaluating /Dedicated/schnieders/programs/stack-2021.1.sh
  Loading Modules
   Stack 2021.1
   GCC 9.3.0
   CMake 3.20.0
   Eigen 3.3.9
   Cuda 11.1.1
   Cuda: /usr/share/apps/2021.1/arch/gcc-9.3.0/cuda-11.1.1
   CudaNN 8.0.5.39-11.1
   Swig 4.0.2_gcc-9.3.0
  Loading software from /Dedicated/schnieders/programs/local
   Ant: /Dedicated/schnieders/programs/apache-ant-1.10.11
   FFX: /Dedicated/schnieders/programs/ffx-builds/forcefieldx-2025-10-14
   GDMA: /Dedicated/schnieders/programs/gdma-2.3
   Groovy: /Dedicated/schnieders/programs/groovy-4.0.1
   Java: /Dedicated/schnieders/programs/jdk-24
   Maven: /Dedicated/schnieders/programs/apache-maven-3.9.5
   VMD: /Dedicated/schnieders/programs/vmd
   NAMD: /Dedicated/schnieders/programs/NAMD_3.0alpha7_Linux-x86_64-multicore-CUDA
   OpenEye: /Dedicated/schnieders/programs/OpenEye
   Tinker: /Dedicated/schnieders/programs/tinker-tools
Force dictionary: {'AmoebaBond': 0, 'PeriodicTorsionForce': 1, 'AmoebaVdwForce': 2, 'AmoebaMultipoleForce': 3, 'HarmonicBondForce': 4, 'CMMotionRemover': 5, 'AmoebaOutOfPlaneBend': 6, 'AmoebaAngle': 7, 'AmoebaInPlaneAngle': 8, 'AmoebaStretchBend': 9}
Initial Potential Energy: -152519.42860954188 kJ/mol
Alchemical atoms: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]
AmoebaVdwLambda: 0.4
AmoebaElecCharge: -0.0 e
Potential Energy after reinitialization: -152148.08461540125 kJ/mol
#"Step", "Potential Energy (kJ/mole)", "Kinetic Energy (kJ/mole)", "Total Energy (kJ/mole)", "Temperature (K)", "Speed (ns/day)"
1000, -152572.07777946375, 45712.8125, -106859.26527946375, 299.13695231108386, 0
2000, -152483.0401818075, 45685.78515625, -106797.2550255575, 298.9600899218262, 16.5
3000, -152339.29384391688, 46148.171875, -106191.12196891688, 301.98587079750513, 16.4
4000, -151518.2257286825, 46019.05078125, -105499.1749474325, 301.1409240888893, 16.4
5000, -151803.39003532313, 46301.953125, -105501.43691032313, 302.9921894187361, 16.4
6000, -152429.66859977625, 46199.15625, -106230.51234977625, 302.31950396770185, 16.3
7000, -151910.55043571375, 45776.4921875, -106134.05824821375, 299.55366146987546, 16.3
8000, -152579.71449821375, 45712.9140625, -106866.80043571375, 299.1376169189926, 16.4
9000, -153286.30409782313, 45549.44921875, -107736.85487907313, 298.0679304898458, 16.4
10000, -152122.74208610438, 45241.46875, -106881.27333610438, 296.0525581302209, 16.4
11000, -152362.59047477625, 45784.18359375, -106578.40688102625, 299.60399273804256, 16.4
12000, -152120.59413688563, 45749.59375, -106371.00038688563, 299.377642621425, 16.4
13000, -152939.54237907313, 45482.9609375, -107456.58144157313, 297.6328423661928, 16.4
14000, -152809.37856071375, 45010.50390625, -107798.87465446375, 294.5411630601762, 16.4
15000, -152636.7765099325, 45816.14453125, -106820.6319786825, 299.8131397345603, 16.4
16000, -152742.27040641688, 45211.6328125, -107530.63759391688, 295.8573167761018, 16.4
17000, -152864.95863883875, 45577.12890625, -107287.82973258875, 298.24906170682516, 16.4
18000, -151973.00038688563, 45386.8125, -106586.18788688563, 297.0036631713396, 16.4
19000, -152401.558736495, 45595.484375, -106806.074361495, 298.36917680541194, 16.4
20000, -152356.91200797938, 45652.2421875, -106704.66982047938, 298.7405903790373, 16.4
21000, -151834.46693962, 45683.20703125, -106151.25990837, 298.9432191056807, 16.4
22000, -151887.97841422938, 45522.6484375, -106365.32997672938, 297.8925506874615, 16.4
23000, -152191.91469352625, 46022.703125, -106169.21156852625, 301.1648244117619, 16.4
24000, -152809.2140099325, 45425.81640625, -107383.3976036825, 297.2588981701456, 16.4
25000, -152234.23085563563, 45199.9453125, -107034.28554313563, 295.7808357429093, 16.4
26000, -152447.2394005575, 46021.90625, -106425.3331505575, 301.1596097958624, 16.4
27000, -151821.9776818075, 46105.984375, -105715.9933068075, 301.70980289694387, 16.4
28000, -151992.34316032313, 45835.203125, -106157.14003532313, 299.93785596482314, 16.4
29000, -152157.61171501063, 45741.328125, -106416.28359001063, 299.3235537623891, 16.4
30000, -152235.24257438563, 44552.7265625, -107682.51601188563, 291.5455451588178, 16.4
31000, -152722.47939079188, 45202.8203125, -107519.65907829188, 295.7996492590957, 16.4
32000, -151783.4073693075, 45642.9296875, -106140.4776818075, 298.6796509461727, 16.4
33000, -152456.25722282313, 45257.5859375, -107198.67128532313, 296.1580262929724, 16.4
34000, -151701.49208610438, 45488.15625, -106213.33583610438, 297.66683961691007, 16.4
35000, -152212.8390099325, 46018.25, -106194.5890099325, 301.1356839111471, 16.4
36000, -152585.6378380575, 46045.578125, -106540.0597130575, 301.3145145622884, 16.4
37000, -151968.56215446375, 46386.4765625, -105582.08559196375, 303.545296569879, 16.4
38000, -152351.26845329188, 46066.03125, -106285.23720329188, 301.44835637037534, 16.3
39000, -151958.89931266688, 45663.21875, -106295.68056266688, 298.81241915686854, 16.3
40000, -152624.44325797938, 45319.03125, -107305.41200797938, 296.5601140777713, 16.3
41000, -153005.27943962, 46188.73046875, -106816.54897087, 302.25127940968355, 16.3
42000, -152389.058736495, 45486.8203125, -106902.238423995, 297.6580974667256, 16.3
43000, -152322.2706505575, 45396.78125, -106925.4894005575, 297.06889699376853, 16.3
44000, -152108.19618766688, 46100.11328125, -106008.08290641688, 301.6713834474491, 16.3
45000, -153014.40419547938, 45567.453125, -107446.95107047938, 298.1857450225945, 16.3
46000, -153051.23695915125, 45999.671875, -107051.56508415125, 301.01411178752954, 16.3
47000, -151516.238423995, 45627.3125, -105888.925923995, 298.57745469927977, 16.3
48000, -152893.92812126063, 45452.1484375, -107441.77968376063, 297.4312105514125, 16.3
49000, -152716.55653922938, 45521.125, -107195.43153922938, 297.8825815688301, 16.3
50000, -152090.81288688563, 45161.3203125, -106929.49257438563, 295.5280802428399, 16.3
