 Evaluating /Dedicated/schnieders/programs/stack-2021.1.sh
  Loading Modules
   Stack 2021.1
   GCC 9.3.0
   CMake 3.20.0
   Eigen 3.3.9
   Cuda 11.1.1
   Cuda: /usr/share/apps/2021.1/arch/gcc-9.3.0/cuda-11.1.1
   CudaNN 8.0.5.39-11.1
   Swig 4.0.2_gcc-9.3.0
  Loading software from /Dedicated/schnieders/programs/local
   Ant: /Dedicated/schnieders/programs/apache-ant-1.10.11
   FFX: /Dedicated/schnieders/programs/ffx-builds/forcefieldx-2025-10-14
   GDMA: /Dedicated/schnieders/programs/gdma-2.3
   Groovy: /Dedicated/schnieders/programs/groovy-4.0.1
   Java: /Dedicated/schnieders/programs/jdk-24
   Maven: /Dedicated/schnieders/programs/apache-maven-3.9.5
   VMD: /Dedicated/schnieders/programs/vmd
   NAMD: /Dedicated/schnieders/programs/NAMD_3.0alpha7_Linux-x86_64-multicore-CUDA
   OpenEye: /Dedicated/schnieders/programs/OpenEye
   Tinker: /Dedicated/schnieders/programs/tinker-tools
1 warning generated.
Force dictionary: {'AmoebaBond': 0, 'PeriodicTorsionForce': 1, 'AmoebaVdwForce': 2, 'AmoebaMultipoleForce': 3, 'HarmonicBondForce': 4, 'CMMotionRemover': 5, 'AmoebaOutOfPlaneBend': 6, 'AmoebaAngle': 7, 'AmoebaInPlaneAngle': 8, 'AmoebaStretchBend': 9, 'MonteCarloBarostat': 10}
Initial Potential Energy: -205611.31719191407 kJ/mol
Starting energy minimization...
Energy minimization completed.
Minimized Potential Energy: -49143.5761259866 kcal/mol
Starting equilibration for 15000000 steps...
#"Step", "Potential Energy (kJ/mole)", "Kinetic Energy (kJ/mole)", "Total Energy (kJ/mole)", "Temperature (K)", "Speed (ns/day)"
1000, -160251.09760553244, 41876.8984375, -118374.19916803244, 274.03537620518404, 0
2000, -156463.70144468884, 44602.06640625, -111861.63503843884, 291.8684167932612, 11.9
3000, -154237.85792872927, 44776.6875, -109461.17042872927, 293.0111078450009, 11.8
4000, -153810.25977990305, 45061.2421875, -108749.01759240305, 294.87318583428635, 11.7
5000, -153783.66599958975, 46128.953125, -107654.71287458975, 301.8601065316939, 11.7
6000, -153105.94317683054, 45324.2109375, -107781.73223933054, 296.5940090811179, 11.7
7000, -153223.31024174183, 45847.83984375, -107375.47039799183, 300.0205485257782, 11.7
8000, -153301.9908827678, 45643.0, -107658.9908827678, 298.68011105934033, 11.7
9000, -153040.9157704921, 45127.58984375, -107913.32592674211, 295.30735373160417, 11.7
10000, -152778.4174544924, 45519.73828125, -107258.67917324239, 297.8735071146913, 11.7
11000, -153182.98328557616, 45651.7265625, -107531.25672307616, 298.73721621580825, 11.7
12000, -152895.7888082757, 45569.51953125, -107326.26927702571, 298.1992672373535, 11.7
13000, -152535.10321649295, 46056.6015625, -106478.50165399295, 301.38665008223137, 11.7
14000, -152507.3524765187, 45488.62890625, -107018.72357026869, 297.66993259987004, 11.7
15000, -153186.30249535822, 45754.1875, -107432.11499535822, 299.40770334837504, 11.8
16000, -153011.58602647675, 45482.73046875, -107528.85555772675, 297.6313342174767, 11.8
17000, -152818.4570347683, 45707.0078125, -107111.4492222683, 299.098967412914, 11.8
18000, -153322.81599417378, 45717.88671875, -107604.92927542378, 299.17015714467914, 11.8
19000, -152646.1365892319, 45666.9375, -106979.1990892319, 298.83675403106616, 11.8
20000, -151973.39591674475, 45950.171875, -106023.22404174475, 300.6901921175378, 11.8
