 Evaluating /Dedicated/schnieders/programs/stack-2021.1.sh
  Loading Modules
   Stack 2021.1
   GCC 9.3.0
   CMake 3.20.0
   Eigen 3.3.9
   Cuda 11.1.1
   Cuda: /usr/share/apps/2021.1/arch/gcc-9.3.0/cuda-11.1.1
   CudaNN 8.0.5.39-11.1
   Swig 4.0.2_gcc-9.3.0
  Loading software from /Dedicated/schnieders/programs/local
   Ant: /Dedicated/schnieders/programs/apache-ant-1.10.11
   FFX: /Dedicated/schnieders/programs/ffx-builds/forcefieldx-2025-10-14
   GDMA: /Dedicated/schnieders/programs/gdma-2.3
   Groovy: /Dedicated/schnieders/programs/groovy-4.0.1
   Java: /Dedicated/schnieders/programs/jdk-24
   Maven: /Dedicated/schnieders/programs/apache-maven-3.9.5
   VMD: /Dedicated/schnieders/programs/vmd
   NAMD: /Dedicated/schnieders/programs/NAMD_3.0alpha7_Linux-x86_64-multicore-CUDA
   OpenEye: /Dedicated/schnieders/programs/OpenEye
   Tinker: /Dedicated/schnieders/programs/tinker-tools
Adding Restraint with parameters:  [(0, 1), (6275.999999999999, 0.0, 1.0)]
Using PBC Conditions on Restraint?  True
Force dictionary: {'AmoebaBond': 0, 'PeriodicTorsionForce': 1, 'AmoebaVdwForce': 2, 'AmoebaMultipoleForce': 3, 'HarmonicBondForce': 4, 'CMMotionRemover': 5, 'AmoebaOutOfPlaneBend': 6, 'AmoebaAngle': 7, 'AmoebaInPlaneAngle': 8, 'AmoebaStretchBend': 9, 'CustomCentroidBondForce': 10}
Initial Potential Energy: -150193.48856408245 kJ/mol
Alchemical atoms: [217, 218, 219, 220, 221, 222, 223, 224, 225, 226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242]
AmoebaVdwLambda: 0.725
AmoebaElecCharge: 0.20472 e
Potential Energy after reinitialization: -149822.81164605267 kJ/mol
#"Step", "Potential Energy (kJ/mole)", "Kinetic Energy (kJ/mole)", "Total Energy (kJ/mole)", "Temperature (K)", "Speed (ns/day)"
1000, -148790.5511480058, 45491.8671875, -103298.68396050579, 297.59397361679254, 0
2000, -149759.29162652142, 45539.59375, -104219.69787652142, 297.9061862881895, 26.1
3000, -149507.21691949017, 45420.19140625, -104087.02551324017, 297.1250924326819, 26.2
4000, -149556.11499077923, 46009.6796875, -103546.43530327923, 300.98134566789594, 26.1
5000, -149562.69319970257, 45639.234375, -103923.45882470257, 298.55800498372014, 26.2
6000, -148888.6946874345, 45371.0625, -103517.6321874345, 296.8037060545383, 26.1
7000, -149680.95268303997, 45516.97265625, -104163.98002678997, 297.7582059657096, 26.1
8000, -149291.73045403606, 46253.62109375, -103038.10936028606, 302.5771362323147, 26
9000, -149616.30035454876, 45835.5234375, -103780.77691704876, 299.84206839325503, 26
10000, -149813.40258843548, 45630.0078125, -104183.39477593548, 298.49764761509687, 26
11000, -150139.84806878216, 45598.93359375, -104540.91447503216, 298.29436951712967, 26
12000, -149366.90335137493, 45698.3359375, -103668.56741387493, 298.94462944911845, 26
13000, -149639.71711403973, 45181.078125, -104458.63898903973, 295.5608859951126, 26
14000, -149726.54843194134, 45718.25390625, -104008.29452569134, 299.07492674912277, 26
15000, -149336.37791497356, 46381.7421875, -102954.63572747356, 303.4152655013562, 26.1
16000, -149940.3705907548, 45626.578125, -104313.79246575481, 298.47521164149344, 26.1
17000, -148944.40873772747, 45749.3046875, -103195.10405022747, 299.2780515260858, 26.1
18000, -148494.47238213665, 45866.75390625, -102627.71847588665, 300.04636863124966, 26.1
19000, -148890.43443352825, 45526.4296875, -103364.00474602825, 297.8200709908734, 26.1
20000, -148262.15611703045, 45305.5703125, -102956.58580453045, 296.37527606201564, 26.1
21000, -149700.18679864056, 45533.35546875, -104166.83132989056, 297.86537734759196, 26.1
22000, -149481.58101708538, 45750.46484375, -103731.11617333538, 299.2856409157899, 26.1
23000, -149908.79924065716, 46065.046875, -103843.75236565716, 301.3435409866372, 26.1
24000, -149687.44960076458, 45760.05859375, -103927.39100701458, 299.34840031347784, 26.1
25000, -148974.12682397015, 45170.71484375, -103803.41198022015, 295.4930925577893, 26.1
