 Evaluating /Dedicated/schnieders/programs/stack-2021.1.sh
  Loading Modules
   Stack 2021.1
   GCC 9.3.0
   CMake 3.20.0
   Eigen 3.3.9
   Cuda 11.1.1
   Cuda: /usr/share/apps/2021.1/arch/gcc-9.3.0/cuda-11.1.1
   CudaNN 8.0.5.39-11.1
   Swig 4.0.2_gcc-9.3.0
  Loading software from /Dedicated/schnieders/programs/local
   Ant: /Dedicated/schnieders/programs/apache-ant-1.10.11
   FFX: /Dedicated/schnieders/programs/ffx-builds/forcefieldx-2025-10-14
   GDMA: /Dedicated/schnieders/programs/gdma-2.3
   Groovy: /Dedicated/schnieders/programs/groovy-4.0.1
   Java: /Dedicated/schnieders/programs/jdk-24
   Maven: /Dedicated/schnieders/programs/apache-maven-3.9.5
   VMD: /Dedicated/schnieders/programs/vmd
   NAMD: /Dedicated/schnieders/programs/NAMD_3.0alpha7_Linux-x86_64-multicore-CUDA
   OpenEye: /Dedicated/schnieders/programs/OpenEye
   Tinker: /Dedicated/schnieders/programs/tinker-tools
1 warning generated.
Adding Restraint with parameters:  [(0, 1), (6275.999999999999, 0.0, 1.0)]
Using PBC Conditions on Restraint?  True
Force dictionary: {'AmoebaBond': 0, 'PeriodicTorsionForce': 1, 'AmoebaVdwForce': 2, 'AmoebaMultipoleForce': 3, 'HarmonicBondForce': 4, 'CMMotionRemover': 5, 'AmoebaOutOfPlaneBend': 6, 'AmoebaAngle': 7, 'AmoebaInPlaneAngle': 8, 'AmoebaStretchBend': 9, 'CustomCentroidBondForce': 10, 'MonteCarloBarostat': 11}
Initial Potential Energy: -202261.43285157878 kJ/mol
Starting energy minimization...
Energy minimization completed.
Minimized Potential Energy: -48342.815798002965 kcal/mol
Starting equilibration for 15000000 steps...
#"Step", "Potential Energy (kJ/mole)", "Kinetic Energy (kJ/mole)", "Total Energy (kJ/mole)", "Temperature (K)", "Speed (ns/day)"
1000, -157018.43285152238, 41948.8515625, -115069.58128902238, 274.416641851438, 0
2000, -152259.98201988766, 44828.6796875, -107431.30233238766, 293.255602484112, 6.75
3000, -150438.8870918238, 45274.359375, -105164.5277168238, 296.17110359152446, 6.69
4000, -149428.84011607082, 45403.0078125, -104025.83230357082, 297.01268258315866, 6.59
5000, -150466.48523393692, 45934.48828125, -104531.99695268692, 300.48946633316683, 6.48
6000, -149178.72676518408, 45493.3359375, -103685.39082768408, 297.60358173305093, 6.38
7000, -149887.982764547, 45933.078125, -103954.90463954699, 300.4802415194187, 6.33
8000, -149775.88878680137, 45758.78125, -104017.10753680137, 299.3400443187531, 6.26
9000, -149656.88573344392, 45778.0, -103878.88573344392, 299.4657675421344, 6.22
10000, -148618.83979179294, 46323.5703125, -102295.26947929294, 303.0347227691215, 6.19
11000, -150449.71852083772, 45792.3203125, -104657.39820833772, 299.55944667565393, 6.17
12000, -149603.04483362054, 45725.06640625, -103877.97842737054, 299.11949205432137, 6.16
13000, -149480.06861489345, 45732.0703125, -103747.99830239345, 299.16530948105355, 6.15
14000, -148573.1990202861, 46091.31640625, -102481.88261403609, 301.515388278759, 6.14
15000, -149181.199473785, 46096.4765625, -103084.722911285, 301.5491444531669, 6.13
16000, -150026.08326770217, 46216.9453125, -103809.13795520217, 302.337214414362, 6.13
17000, -150028.98876490138, 46502.640625, -103526.34813990138, 304.20614634762694, 6.14
18000, -149273.35293715273, 45348.7265625, -103924.62637465273, 296.6575911376085, 6.14
19000, -150017.8214045977, 45655.6328125, -104362.1885920977, 298.6652785796053, 6.15
20000, -149954.8988769519, 45960.0078125, -103994.89106445189, 300.6564073531567, 6.15
21000, -150042.83063475517, 45378.84375, -104663.98688475517, 296.8546086279073, 6.15
22000, -150397.48757041918, 45470.8515625, -104926.63600791918, 297.456495783095, 6.16
